top - 17:59:55 up 5 days,  7:05,  1 user,  load average: 3.55, 3.92, 4.01
Tasks: 474 total,   2 running, 472 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.4 us, 13.6 sy,  0.0 ni, 58.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15900.2 total,    284.0 free,  10360.2 used,   5255.9 buff/cache
MiB Swap:   2048.0 total,    777.9 free,   1270.1 used.   3786.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1658 kernoops  20   0   11264    448      0 S   0.0   0.0   0:19.58 kernelo+
   2510 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   3280 root      20   0  453684  89744  25448 S   0.0   0.6   0:19.75 fwupd
   7589 root      20   0  339712  10704   8320 S   0.0   0.1   0:00.48 gdm-ses+
   7597 nishant+  20   0   20088  10600   7960 S   0.0   0.1   0:08.03 systemd
   7599 nishant+  20   0  195168   3032      0 S   0.0   0.0   0:00.00 (sd-pam)
   7604 nishant+   9 -11 3056328  18732  13512 S   0.0   0.1  18:14.38 pulseau+
   7606 nishant+  39  19  511660  22628  14176 S   0.0   0.1   0:02.71 tracker+
   7609 nishant+  20   0   27572   6260   3832 S   0.0   0.0   0:53.51 dbus-da+
   7612 nishant+  20   0  240292   6544   5712 S   0.0   0.0   0:03.97 gnome-k+
   7629 nishant+  20   0  239840   7512   6444 S   0.0   0.0   0:00.77 gvfsd
   7635 nishant+  20   0  378348   6236   5576 S   0.0   0.0   0:00.01 gvfsd-f+
   7642 nishant+  20   0  322576   9072   7332 S   0.0   0.1   0:18.90 gvfs-ud+
   7650 nishant+  20   0  316728   8704   7688 S   0.0   0.1   0:07.30 gvfs-af+
   7655 nishant+  20   0  235880   5708   5176 S   0.0   0.0   0:00.20 gvfs-go+
   7659 nishant+  20   0  626912  22992  16480 S   0.0   0.1   1:24.49 goa-dae+
   7667 nishant+  20   0  314240   8324   6972 S   0.0   0.1   2:00.57 goa-ide+
   7672 nishant+  20   0  239900   6616   5936 S   0.0   0.0   0:00.01 gnome-k+
   7681 nishant+  20   0  238108   6400   5620 S   0.0   0.0   0:00.20 gvfs-gp+
   7685 nishant+  20   0  235704   6172   5568 S   0.0   0.0   0:00.21 gvfs-mt+
   7699 nishant+  20   0  164020   6496   5856 S   0.0   0.0   0:00.03 gdm-x-s+
   7720 nishant+  20   0  188224  12236  10608 S   0.0   0.1   0:00.07 gnome-s+
   7724 nishant+  20   0  341928  19152   2672 S   0.0   0.1   0:55.80 PanGPA
   7877 nishant+  20   0    6044    100      0 S   0.0   0.0   0:00.82 ssh-age+
   7942 nishant+  20   0  305424   6432   5804 S   0.0   0.0   0:00.02 at-spi-+
   7947 nishant+  20   0   25864   4228   3780 S   0.0   0.0   0:02.27 dbus-da+
   7955 nishant+  20   0   90064   4312   3896 S   0.0   0.0   0:00.00 gnome-s+
   7961 nishant+  20   0  492692  13872  11188 S   0.0   0.1   0:02.47 gnome-s+
   8007 nishant+  20   0  319412   8004   6532 S   0.0   0.0   0:04.26 ibus-da+
